symbol,base_currency,quote_currency,tick_size,quote_increment,min_order_size,status,product_type,contract_type
2ZGUSD,2Z,GUSD,1e-06,1e-06,0.2,open,spot,vanilla
2ZRLUSD,2Z,RLUSD,1e-06,1e-06,0.2,open,spot,vanilla
2ZUSD,2Z,USD,1e-06,1e-06,0.2,open,spot,vanilla
2ZUSDC,2Z,USDC,1e-06,1e-06,0.2,open,spot,vanilla
AAVEGUSD,AAVE,GUSD,1e-06,0.0001,0.001,open,spot,vanilla
AAVERLUSD,AAVE,RLUSD,1e-06,0.0001,0.001,open,spot,vanilla
AAVEUSD,AAVE,USD,1e-06,0.0001,0.001,open,spot,vanilla
AAVEUSDC,AAVE,USDC,1e-06,0.0001,0.001,open,spot,vanilla
ALIGUSD,ALI,GUSD,1e-06,1e-06,2.0,open,spot,vanilla
ALIRLUSD,ALI,RLUSD,1e-06,1e-06,2.0,open,spot,vanilla
ALIUSD,ALI,USD,1e-06,1e-06,2.0,open,spot,vanilla
ALIUSDC,ALI,USDC,1e-06,1e-06,2.0,open,spot,vanilla
AMPGUSD,AMP,GUSD,1e-06,1e-05,10.0,open,spot,vanilla
AMPRLUSD,AMP,RLUSD,1e-06,1e-05,10.0,open,spot,vanilla
AMPUSD,AMP,USD,1e-06,1e-05,10.0,open,spot,vanilla
AMPUSDC,AMP,USDC,1e-06,1e-05,10.0,open,spot,vanilla
ANKRGUSD,ANKR,GUSD,1e-06,1e-06,0.1,open,spot,vanilla
ANKRRLUSD,ANKR,RLUSD,1e-06,1e-06,0.1,open,spot,vanilla
ANKRUSD,ANKR,USD,1e-06,1e-06,0.1,open,spot,vanilla
ANKRUSDC,ANKR,USDC,1e-06,1e-06,0.1,open,spot,vanilla
APEGUSD,APE,GUSD,1e-06,0.0001,0.02,open,spot,vanilla
APERLUSD,APE,RLUSD,1e-06,0.0001,0.02,open,spot,vanilla
APEUSD,APE,USD,1e-06,0.0001,0.02,open,spot,vanilla
APEUSDC,APE,USDC,1e-06,0.0001,0.02,open,spot,vanilla
API3GUSD,API3,GUSD,1e-06,0.001,0.03,open,spot,vanilla
API3RLUSD,API3,RLUSD,1e-06,0.001,0.03,open,spot,vanilla
API3USD,API3,USD,1e-06,0.001,0.03,open,spot,vanilla
API3USDC,API3,USDC,1e-06,0.001,0.03,open,spot,vanilla
ARBGUSD,ARB,GUSD,0.01,0.0001,0.2,open,spot,vanilla
ARBRLUSD,ARB,RLUSD,0.01,0.0001,0.2,open,spot,vanilla
ARBUSD,ARB,USD,0.01,0.0001,0.2,open,spot,vanilla
ARBUSDC,ARB,USDC,0.01,0.0001,0.2,open,spot,vanilla
ATOMGUSD,ATOM,GUSD,1e-06,0.001,0.01,open,spot,vanilla
ATOMRLUSD,ATOM,RLUSD,1e-06,0.001,0.01,open,spot,vanilla
ATOMUSD,ATOM,USD,1e-06,0.001,0.01,open,spot,vanilla
ATOMUSDC,ATOM,USDC,1e-06,0.001,0.01,open,spot,vanilla
AUDGUSD,AUD,GUSD,1e-06,1e-08,0.2,open,spot,vanilla
AUDRLUSD,AUD,RLUSD,1e-06,1e-08,0.2,open,spot,vanilla
AUDUSD,AUD,USD,1e-06,1e-08,0.2,open,spot,vanilla
AUDUSDC,AUD,USDC,1e-06,1e-08,0.2,open,spot,vanilla
AVAXGUSD,AVAX,GUSD,1e-06,0.001,0.00499999,open,spot,vanilla
AVAXGUSDPERP,AVAX,GUSD,0.1,0.001,0.1,open,swap,linear
AVAXRLUSD,AVAX,RLUSD,1e-06,0.001,0.00499999,open,spot,vanilla
AVAXUSD,AVAX,USD,1e-06,0.001,0.00499999,open,spot,vanilla
AVAXUSDC,AVAX,USDC,1e-06,0.001,0.00499999,open,spot,vanilla
AVAXUSDCPERP,AVAX,USDC,0.1,0.001,0.1,open,swap,linear
BATGUSD,BAT,GUSD,1e-06,1e-05,1.0,open,spot,vanilla
BATRLUSD,BAT,RLUSD,1e-06,1e-05,1.0,open,spot,vanilla
BATUSD,BAT,USD,1e-06,1e-05,1.0,open,spot,vanilla
BATUSDC,BAT,USDC,1e-06,1e-05,1.0,open,spot,vanilla
BCHGUSD,BCH,GUSD,1e-06,0.01,0.001,open,spot,vanilla
BCHGUSDPERP,BCH,GUSD,0.001,0.01,0.001,open,swap,linear
BCHRLUSD,BCH,RLUSD,1e-06,0.01,0.001,open,spot,vanilla
BCHUSD,BCH,USD,1e-06,0.01,0.001,open,spot,vanilla
BCHUSDC,BCH,USDC,1e-06,0.01,0.001,open,spot,vanilla
BCHUSDCPERP,BCH,USDC,0.001,0.01,0.001,open,swap,linear
BNBGUSD,BNB,GUSD,1e-06,0.0001,0.0002,open,spot,vanilla
BNBGUSDPERP,BNB,GUSD,0.01,0.05,0.01,open,swap,linear
BNBRLUSD,BNB,RLUSD,1e-06,0.0001,0.0002,open,spot,vanilla
BNBUSD,BNB,USD,1e-06,0.0001,0.0002,open,spot,vanilla
BNBUSDC,BNB,USDC,1e-06,0.0001,0.0002,open,spot,vanilla
BNBUSDCPERP,BNB,USDC,0.01,0.05,0.01,open,swap,linear
BOMEGUSD,BOME,GUSD,0.01,1e-06,10.0,open,spot,vanilla
BOMERLUSD,BOME,RLUSD,0.01,1e-06,10.0,open,spot,vanilla
BOMEUSD,BOME,USD,0.01,1e-06,10.0,open,spot,vanilla
BOMEUSDC,BOME,USDC,0.01,1e-06,10.0,open,spot,vanilla
BONKGUSD,BONK,GUSD,1e-06,1e-09,4000.0,open,spot,vanilla
BONKGUSDPERP,BONK,GUSD,1.0,1e-09,5000.0,open,swap,linear
BONKRLUSD,BONK,RLUSD,1e-06,1e-09,4000.0,open,spot,vanilla
BONKUSD,BONK,USD,1e-06,1e-09,4000.0,open,spot,vanilla
BONKUSDC,BONK,USDC,1e-06,1e-09,4000.0,open,spot,vanilla
BONKUSDCPERP,BONK,USDC,1.0,1e-09,5000.0,open,swap,linear
BTCEUR,BTC,EUR,1e-08,0.01,1e-05,open,spot,vanilla
BTCGBP,BTC,GBP,1e-08,0.01,1e-05,open,spot,vanilla
BTCGUSD,BTC,GUSD,1e-08,0.01,1e-05,open,spot,vanilla
BTCGUSDPERP,BTC,GUSD,0.0001,0.5,0.0001,open,swap,linear
BTCRLUSD,BTC,RLUSD,1e-08,0.01,1e-05,open,spot,vanilla
BTCSGD,BTC,SGD,1e-08,0.01,1e-05,open,spot,vanilla
BTCUSD,BTC,USD,1e-08,0.01,1e-05,open,spot,vanilla
BTCUSDC,BTC,USDC,1e-08,0.01,1e-05,open,spot,vanilla
BTCUSDCPERP,BTC,USDC,0.0001,0.5,0.0001,open,swap,linear
BTCUSDT,BTC,USDT,1e-08,0.01,1e-05,open,spot,vanilla
CHILLGUYGUSD,CHILLGUY,GUSD,0.01,0.0001,0.5,open,spot,vanilla
CHILLGUYRLUSD,CHILLGUY,RLUSD,0.01,0.0001,0.5,open,spot,vanilla
CHILLGUYUSD,CHILLGUY,USD,0.01,0.0001,0.5,open,spot,vanilla
CHILLGUYUSDC,CHILLGUY,USDC,0.01,0.0001,0.5,open,spot,vanilla
CHZGUSD,CHZ,GUSD,1e-06,1e-05,0.5,open,spot,vanilla
CHZRLUSD,CHZ,RLUSD,1e-06,1e-05,0.5,open,spot,vanilla
CHZUSD,CHZ,USD,1e-06,1e-05,0.5,open,spot,vanilla
CHZUSDC,CHZ,USDC,1e-06,1e-05,0.5,open,spot,vanilla
COMPGUSD,COMP,GUSD,1e-06,0.01,0.001,open,spot,vanilla
COMPRLUSD,COMP,RLUSD,1e-06,0.01,0.001,open,spot,vanilla
COMPUSD,COMP,USD,1e-06,0.01,0.001,open,spot,vanilla
COMPUSDC,COMP,USDC,1e-06,0.01,0.001,open,spot,vanilla
CRVGUSD,CRV,GUSD,1e-06,0.0001,0.1,open,spot,vanilla
CRVRLUSD,CRV,RLUSD,1e-06,0.0001,0.1,open,spot,vanilla
CRVUSD,CRV,USD,1e-06,0.0001,0.1,open,spot,vanilla
CRVUSDC,CRV,USDC,1e-06,0.0001,0.1,open,spot,vanilla
CTXGUSD,CTX,GUSD,1e-06,0.0001,0.002,open,spot,vanilla
CTXRLUSD,CTX,RLUSD,1e-06,0.0001,0.002,open,spot,vanilla
CTXUSD,CTX,USD,1e-06,0.0001,0.002,open,spot,vanilla
CTXUSDC,CTX,USDC,1e-06,0.0001,0.002,open,spot,vanilla
CUBEGUSD,CUBE,GUSD,1e-06,0.0001,0.01,open,spot,vanilla
CUBERLUSD,CUBE,RLUSD,1e-06,0.0001,0.01,open,spot,vanilla
CUBEUSD,CUBE,USD,1e-06,0.0001,0.01,open,spot,vanilla
CUBEUSDC,CUBE,USDC,1e-06,0.0001,0.01,open,spot,vanilla
DAIGUSD,DAI,GUSD,1e-06,1e-05,0.1,open,spot,vanilla
DAIRLUSD,DAI,RLUSD,1e-06,1e-05,0.1,open,spot,vanilla
DAIUSD,DAI,USD,1e-06,1e-05,0.1,open,spot,vanilla
DAIUSDC,DAI,USDC,1e-06,1e-05,0.1,open,spot,vanilla
DOGEBTC,DOGE,BTC,1e-08,1e-09,1.0,open,spot,vanilla
DOGEETH,DOGE,ETH,1e-08,1e-08,1.0,open,spot,vanilla
DOGEGUSD,DOGE,GUSD,1e-06,1e-05,0.1,open,spot,vanilla
DOGEGUSDPERP,DOGE,GUSD,1.0,1e-05,1.0,open,swap,linear
DOGERLUSD,DOGE,RLUSD,1e-06,1e-05,0.1,open,spot,vanilla
DOGEUSD,DOGE,USD,1e-06,1e-05,0.1,open,spot,vanilla
DOGEUSDC,DOGE,USDC,1e-06,1e-05,0.1,open,spot,vanilla
DOGEUSDCPERP,DOGE,USDC,1.0,1e-05,1.0,open,swap,linear
DOTGUSD,DOT,GUSD,1e-06,0.0001,0.01,open,spot,vanilla
DOTRLUSD,DOT,RLUSD,1e-06,0.0001,0.01,open,spot,vanilla
DOTUSD,DOT,USD,1e-06,0.0001,0.01,open,spot,vanilla
DOTUSDC,DOT,USDC,1e-06,0.0001,0.01,open,spot,vanilla
