pair,price,percentChange24h
BTCRLUSD,69889.9,0.0224
BTCGUSD,69889.9,0.0224
BTCUSD,69889.9,0.0224
PAXGUSD,5223.4,0.0011
PAXGRLUSD,5223.4,0.0011
PAXGGUSD,5223.4,0.0011
YFIGUSD,2508.7,0.004
YFIRLUSD,2508.7,0.004
YFIUSD,2508.7,0.004
ETHUSD,2030.74,0.0208
ETHRLUSD,2030.74,0.0208
ETHGUSD,2030.74,0.0208
BNBUSD,642.2362,0.0068
BNBRLUSD,642.2362,0.0068
BNBGUSD,642.2362,0.0068
BCHRLUSD,446.09,0.005
BCHGUSD,446.09,0.005
BCHUSD,446.09,0.005
ZECUSD,219.13,0.0398
ZECGUSD,219.13,0.0398
ZECRLUSD,219.13,0.0398
AAVEUSD,111.4177,0.0483
AAVEGUSD,111.4177,0.0483
AAVERLUSD,111.4177,0.0483
JITOSOLUSD,108.8781,0.0003
JITOSOLRLUSD,108.8781,0.0003
JITOSOLGUSD,108.8781,0.0003
SOLGUSD,85.677,0.0107
SOLRLUSD,85.677,0.0107
SOLUSD,85.677,0.0107
QNTUSD,63.75,-0.0195
QNTRLUSD,63.75,-0.0195
QNTGUSD,63.75,-0.0195
LTCGUSD,53.76,0.0015
LTCUSD,53.76,0.0015
LTCRLUSD,53.76,0.0015
HYPEGUSD,34.4284,-0.0233
HYPEUSD,34.4284,-0.0233
HYPERLUSD,34.4284,-0.0233
COMPGUSD,16.74,0.0072
COMPRLUSD,16.74,0.0072
COMPUSD,16.74,0.0072
AVAXUSD,9.52,0.0287
AVAXRLUSD,9.52,0.0287
AVAXGUSD,9.52,0.0287
LINKRLUSD,8.98243,0.0137
LINKUSD,8.98243,0.0137
LINKGUSD,8.98243,0.0137
ENSUSD,5.943,0.0145
ENSRLUSD,5.943,0.0145
ENSGUSD,5.943,0.0145
UNIGUSD,3.8413,-0.0019
UNIRLUSD,3.8413,-0.0019
UNIUSD,3.8413,-0.0019
INJUSD,2.9352,0.0106
INJRLUSD,2.9352,0.0106
INJGUSD,2.9352,0.0106
TRUMPUSD,2.8896,0.0134
TRUMPGUSD,2.8896,0.0134
TRUMPRLUSD,2.8896,0.0134
LPTUSD,2.2661,-0.0074
LPTGUSD,2.2661,-0.0074
LPTRLUSD,2.2661,-0.0074
ATOMGUSD,1.791,0.0264
ATOMRLUSD,1.791,0.0264
ATOMUSD,1.791,0.0264
DOTRLUSD,1.4778,-0.0046
DOTGUSD,1.4778,-0.0046
DOTUSD,1.4778,-0.0046
RNDRGUSD,1.466,0.0562
RNDRUSD,1.466,0.0562
RNDRRLUSD,1.466,0.0562
XRPRLUSD,1.40831,0.029
XRPGUSD,1.38307,0.0177
XRPUSD,1.38307,0.0177
TONGUSD,1.3176,-0.0051
TONUSD,1.3176,-0.0051
TONRLUSD,1.3176,-0.0051
EURUSD,1.16104,0.0013
HNTUSD,1.145,0.0
HNTRLUSD,1.145,0.0
HNTGUSD,1.145,0.0
DAIGUSD,1.00145,0.0055
DAIRLUSD,1.00145,0.0055
DAIUSD,1.00145,0.0055
RLUSDUSD,1.0001,0.0002
RLUSDGUSD,1.0001,0.0002
USDTUSD,1.00008,0.0
USDTRLUSD,1.00008,0.0
GUSDUSD,1.0,0.0
USDCUSD,0.99997,0.0
USD1USD,0.9999,-0.0002
USDGRLUSD,0.9998,0.0
USDGGUSD,0.9998,0.0
USDGUSD,0.9998,0.0
USDTGUSD,0.999,-0.0101
SUIUSD,0.9577,0.01
SUIGUSD,0.9577,0.01
SUIRLUSD,0.9577,0.01
EULUSD,0.9213,-0.1625
EULGUSD,0.9213,-0.1625
EULRLUSD,0.9213,-0.1625
EFILUSD,0.8624,-0.077
FILGUSD,0.8624,-0.077
FILRLUSD,0.8624,-0.077
